id;user_id;mail;phone;preferred;address_id;status_id
1;5e0f6d27-d8b6-49bd-862d-cea8467f4abe;Bypass generate;(898) 358-3429;true;7cc96d50-20a7-4011-b243-15a1e6031c40;44023
2;15d3b3e4-7f5c-463b-a1bb-e98e4689b517;ubiquitous;784-429-9435;true;bd16647a-11f4-4ac8-aa0c-c9e44fd235d0;41194
3;36c63e56-9695-4e9a-8c18-739ad10fac30;capability;246-067-0274;true;6f751c2f-1dda-45e8-9280-5028eac20bb9;34994
4;b62f724e-5ebf-40b9-a8ed-df789785b31e;modular input;626.812.1926 x9895;true;66969875-9e3d-4d27-841a-8d778ac0eb67;50334
5;aba22e2b-cee2-44f8-90e1-7b6cd33ed737;purple enterprise green;883.958.9273 x0919;false;862c4ebd-2a72-434b-889f-2566934a9271;70627
6;5e7af57b-8d18-4d3c-805e-42b8a290675d;blue Michigan;1-197-416-1724 x1748;true;23c7b215-da5c-4c2b-9670-b4a70ee00de2;17395
7;0a95247d-842c-49f4-a90c-ed2e888aac37;Money Market Account Berkshire Luxembourg;1-095-210-2387;false;0a090775-651b-4730-b842-2f03f3a66941;11668
8;b67dbc14-1091-4dc2-aff8-1d4984d94352;Credit Card Account yellow;806-206-1002 x13852;true;f3216e3f-2310-4fce-b605-fdb8d5163251;37198
9;8f899c58-ceb8-4a19-ba15-9b505fbdf58e;Up-sized Chief Auto Loan Account;1-105-204-6352;false;d0357f43-fd3e-4c9d-a9b8-7ab74443ef77;78915
10;18eac22c-4eff-4e29-8219-9d90c6148bae;Maldives North Carolina Small;424-746-7647 x64462;false;9f97a763-8a3c-427f-9987-7e69f121f89e;60011
